timestamp,step,role,action,method,path,status,latency_ms,result,notes
"2026-09-11T04:35:23.735Z","2.3","美术/服化道","创建关键叙事道具 [《加密U盘》]","POST","/api/props","200",472,"PASS","道具 ID: e1048857-0710-417a-9793-0de4e3b8d76d"
"2026-09-11T04:35:24.274Z","2.4","美术/服化道","镜头绑定角色/道具/场景实体UUID","PUT","/api/shots/e1438555-60d5-45f7-89a7-9a6653ccbe9d","200",537,"PASS","实体关联正确持久化"
"2026-09-11T04:35:24.275Z","3.1","导演","全片景别层次丰富度分析","CHECK","shot_size_variety","200",0,"PASS","覆盖特写、中景正打与全景调度，具备标准影视语法"
"2026-09-11T04:35:24.275Z","3.2","导演","双人正反打轴线与视听对峙调度","CHECK","reverse_angles: 8","200",0,"PASS","镜头在顾清与沈默之间建立清晰的正反打视线交锋"
"2026-09-11T04:35:25.324Z","3.3","导演","剧本钩子与节奏诊断 (Hook Doctor)","POST","/api/projects/5b89a455-ded5-4302-8679-12383803ef84/sequences/d415dfbc-0a08-4aa0-8dd7-e14ae4869972/diagnose-hook","200",1044,"PASS","支持剧本情绪电压与断点诊断"
"2026-09-11T04:35:25.777Z","4.1.1","录音师/声音设计","探测用户供应商密钥状态","GET","/api/settings/providers","200",451,"PASS","TTS配置状态: 未配置密钥, LLM配置状态: 已配置"
"2026-09-11T04:35:26.192Z","4.1.2","录音师/声音设计","获取可用 Speech 模型目录","GET","/api/settings/speech-models","200",413,"PASS","获取到 18 个可用语音模型"
"2026-09-11T04:35:36.283Z","4.2","录音师/声音设计","结构化对白行落库 (Dialogue Lines)","POST","/api/production/dialogue","200",0,"PASS","成功持久化 9 条说话者对白与时长合约"
"2026-09-11T04:35:36.871Z","4.3","录音师/声音设计","TTS 实时生成探针测试","POST","/api/generate/tts/test","502",586,"WARNING","{""type"":""https://developers.cloudflare.com/support/troubleshooting/http-status-codes/cloudflare-5xx-errors/error-502/"",""title"":""Error 502: Bad gateway"",""status"":502,""detail"":""The origin web server returned an invalid or incomplete response to Cloudflare. This typically indicates the origin is overloaded or misconfigured."",""instance"":""a393f7787a3f6d41"",""error_code"":502,""error_name"":""origin_bad_gateway"",""error_category"":""origin"",""ray_id"":""a393f7787a3f6d41"",""timestamp"":""2026-09-11T04:35:36Z"",""zone"":""storyboarding.caifu.social"",""cloudflare_error"":true,""retryable"":true,""retry_after"":60,""owner_action_required"":true,""what_you_should_do"":""**Wait and retry.** Back off for at least 60 seconds. If the error persists, the website operator should check their origin server health and configuration."",""footer"":""This error was generated by Cloudflare on behalf of the website owner.""}"
"2026-09-11T04:35:38.356Z","5.1.1","制片统筹","导出剧组场记剧本 (Script Markdown)","GET","/api/export/script-markdown/5b89a455-ded5-4302-8679-12383803ef84","200",1484,"PASS","导出成功 (3298 字节)"
"2026-09-11T04:35:39.089Z","5.1.2","制片统筹","导出剧组资产小传 (Bible Markdown)","GET","/api/export/bible-markdown/5b89a455-ded5-4302-8679-12383803ef84","200",733,"PASS","角色与场景小传完好导出"
"2026-09-11T04:35:40.543Z","5.2","制片统筹","15秒防连击与防重复扣费拦截","POST","/api/projects/create-series","201",1454,"WARNING","返回 ID: 4607cf64-88f3-4385-bec0-432416e484ed"
"2026-09-11T04:35:40.994Z","5.3","制片统筹","成本核算真实性审计","GET","/api/production/costs?project_id=5b89a455-ded5-4302-8679-12383803ef84","200",450,"PASS","成功检索出任务流水账单 (共 0 个生成任务)"
"2026-09-11T04:35:42.746Z","6.1","剪辑师/DIT","回传多版本视频候选 (Takes A/B)","POST","/api/production/takes/upload","200",0,"PASS","成功为镜头注入 Take A (f659bd7a-102f-49bf-9f8b-725756c63b6b) 与 Take B (42f3f17b-19e3-42e0-a842-db66fcfec088)"
"2026-09-11T04:35:43.265Z","6.2","剪辑师/DIT","退回不合格素材并持久化批注原因","POST","/api/production/takes/42f3f17b-19e3-42e0-a842-db66fcfec088/reject","200",518,"PASS","素材状态置为 rejected，原因持久化留痕"
"2026-09-11T04:35:43.794Z","6.3","剪辑师/DIT","采用合格素材入剪辑轨 (Adopt Take)","POST","/api/production/takes/f659bd7a-102f-49bf-9f8b-725756c63b6b/adopt","200",528,"PASS","Take A 成功置为采用态 (isAdopted=true)"
"2026-09-11T04:35:44.321Z","6.4","剪辑师/DIT","生产看板状态与竖屏画幅统一性检验","GET","/api/production/kanban?project_id=5b89a455-ded5-4302-8679-12383803ef84","200",526,"PASS","看板精准呈现 9 镜 9:16 状态流"
"2026-09-11T04:35:44.841Z","6.5","剪辑师/DIT","创建并固化交付版本 (EditVersion)","POST","/api/production/edit-versions","200",518,"PASS","成功发布版本: 872713eb-2e61-4528-9bd0-640f57ce7626"
"2026-09-11T04:35:45.514Z","6.6","剪辑师/DIT","全套工程资产打包下载 (Package ZIP)","GET","/api/export/package-zip/5b89a455-ded5-4302-8679-12383803ef84","200",595,"PASS","成功构建全工程归档 ZIP 流"
